+---------------------------------+--------------+--------------+--------------+--------------+--------------+--------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+----------------+
|                                 |    Arakni    |    Azalea    |    Bravo     |    Briar     |     Dash     | Dorinthea Ironsong |    Dromai    |     Fai      |  Iyslander   |     Kano     |    Katsu     |    Levia     |     Lexi     |    Oldhim    |    Rhinar    |   Riptide    |  Ser Boltyn  |    Uzuri     |   Viserai    | Total Winrate | Without Mirror |
+---------------------------------+--------------+--------------+--------------+--------------+--------------+--------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+----------------+
|       Katsu, the Wanderer       | 50.00%  |  2 | 43.75%  | 16 | 50.00%  | 18 | 43.48%  | 23 | 61.54%  | 13 |    42.86%  |  7    | 54.84%  | 31 | 33.33%  | 12 | 62.50%  |  8 | 70.00%  | 10 | 50.00%  | 24 | 100.00% |  1 | 43.48%  | 69 | 28.00%  | 25 | 75.00%  |  4 | 50.00%  |  2 | 100.00% |  1 | 28.57%  | 14 | 26.67%  | 15 |     45.42%    |     45.02%     |
|  Levia, Shadowborn Abomination  |    - |  0    |    - |  0    |    - |  0    |    - |  0    | 100.00% |  1 |     0.00%  |  2    | 100.00% |  2 |    - |  0    |    - |  0    |  0.00%  |  1 |  0.00%  |  1 | 50.00%  |  2 |  0.00%  |  3 |  0.00%  |  1 |    - |  0    |    - |  0    |    - |  0    |    - |  0    |  0.00%  |  2 |     26.67%    |     23.08%     |
|          Lexi, Livewire         |  0.00%  |  2 | 40.00%  | 75 | 51.79%  | 56 | 66.15%  | 65 | 61.22%  | 49 |    75.00%  | 24    | 51.72%  |145 | 78.26%  | 23 | 72.73%  | 22 | 68.75%  | 16 | 56.52%  | 69 | 100.00% |  3 | 49.56%  |228 | 34.88%  |129 | 90.00%  | 10 | 70.00%  | 10 | 64.29%  | 14 | 44.23%  | 52 | 74.47%  | 47 |     53.22%    |     54.25%     |
| Oldhim, Grandfather of Eternity | 100.00% |  4 | 58.33%  | 36 | 65.62%  | 32 | 44.83%  | 29 | 41.18%  | 34 |    80.00%  | 10    | 69.57%  | 69 | 35.29%  | 17 | 38.89%  | 18 | 41.67%  | 12 | 72.00%  | 25 | 100.00% |  1 | 58.14%  |129 | 48.89%  | 90 | 50.00%  |  6 | 100.00% |  2 | 33.33%  |  3 | 56.00%  | 25 | 78.95%  | 19 |     57.04%    |     58.60%     |
|     Rhinar, Reckless Rampage    |    - |  0    | 33.33%  |  6 | 100.00% |  1 |    - |  0    | 50.00%  |  2 |     0.00%  |  1    | 92.31%  | 13 | 50.00%  |  2 |    - |  0    | 33.33%  |  3 | 25.00%  |  4 |    - |  0    | 10.00%  | 10 | 50.00%  |  6 |    - |  0    | 100.00% |  1 |  0.00%  |  1 | 57.14%  |  7 |  0.00%  |  2 |     47.46%    |     47.46%     |
|   Riptide, Lurker of the Deep   |    - |  0    |  0.00%  |  1 | 50.00%  |  2 |  0.00%  |  2 |  0.00%  |  1 |     0.00%  |  2    |  0.00%  |  2 | 100.00% |  1 |    - |  0    |    - |  0    | 50.00%  |  2 |    - |  0    | 30.00%  | 10 |  0.00%  |  2 |  0.00%  |  1 |    - |  0    |    - |  0    |  0.00%  |  1 |    - |  0    |     22.22%    |     22.22%     |
|   Ser Boltyn, Breaker of Dawn   | 100.00% |  1 | 40.00%  |  5 | 50.00%  |  2 | 62.50%  |  8 | 100.00% |  4 |       - |  0       | 33.33%  |  6 |  0.00%  |  1 |  0.00%  |  2 | 50.00%  |  2 |  0.00%  |  1 |    - |  0    | 28.57%  | 14 | 33.33%  |  3 | 100.00% |  1 |    - |  0    |    - |  0    |  0.00%  |  1 | 50.00%  |  4 |     43.64%    |     43.64%     |
|        Uzuri, Switchblade       |  0.00%  |  1 | 66.67%  | 12 | 44.44%  |  9 | 60.00%  | 10 | 36.36%  | 11 |    42.86%  |  7    | 15.62%  | 32 | 50.00%  | 10 | 60.00%  |  5 | 12.50%  |  8 | 71.43%  | 14 |    - |  0    | 53.85%  | 52 | 32.00%  | 25 | 42.86%  |  7 |  0.00%  |  1 | 100.00% |  1 | 50.00%  |  8 | 14.29%  | 14 |     41.85%    |     41.55%     |
|       Viserai, Rune Blood       |  0.00%  |  1 | 23.08%  | 13 | 56.25%  | 16 | 33.33%  | 12 | 77.78%  |  9 |    28.57%  |  7    | 69.23%  | 39 | 55.56%  |  9 |  0.00%  |  6 |  0.00%  |  2 | 73.33%  | 15 | 100.00% |  2 | 25.53%  | 47 | 21.05%  | 19 | 100.00% |  2 |    - |  0    | 50.00%  |  4 | 85.71%  | 14 | 50.00%  | 22 |     47.28%    |     47.00%     |
+---------------------------------+--------------+--------------+--------------+--------------+--------------+--------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+----------------+
